# phase-66 old->new path map (single source of truth for the move tooling)
# columns: step<TAB>kind<TAB>old<TAB>new
# kind=dir  : whole directory moves as a unit (git mv dir)
# kind=file : file-granularity move (the path/ + shared/ splits, src-root headers)
# steps execute in order: core, auth, fs, net, obs, protos, root
core	dir	src/compat	src/core/compat
core	dir	src/types	src/core/types
core	dir	src/config	src/core/config
core	dir	src/shm	src/core/shm
core	dir	src/aio	src/core/aio
core	file	src/ngx_xrootd_module.h	src/core/ngx_xrootd_module.h
core	file	src/feature_flags.h	src/core/feature_flags.h
core	file	src/path/merge.c	src/core/config/merge.c
core	file	src/shared/safe_size.h	src/core/compat/safe_size.h
auth	dir	src/gsi	src/auth/gsi
auth	dir	src/token	src/auth/token
auth	dir	src/sss	src/auth/sss
auth	dir	src/krb5	src/auth/krb5
auth	dir	src/pwd	src/auth/pwd
auth	dir	src/unix	src/auth/unix
auth	dir	src/host	src/auth/host
auth	dir	src/voms	src/auth/voms
auth	dir	src/crypto	src/auth/crypto
auth	dir	src/impersonate	src/auth/impersonate
auth	dir	src/acc	src/auth/authz/acc
auth	file	src/path/acl.c	src/auth/authz/acl.c
auth	file	src/path/authdb.c	src/auth/authz/authdb.c
auth	file	src/path/find_rule.c	src/auth/authz/find_rule.c
auth	file	src/path/group_policy.c	src/auth/authz/group_policy.c
auth	file	src/path/auth_cache.c	src/auth/authz/auth_cache.c
auth	file	src/path/auth_cache.h	src/auth/authz/auth_cache.h
auth	file	src/path/auth_gate.c	src/auth/authz/auth_gate.c
auth	file	src/path/auth_gate.h	src/auth/authz/auth_gate.h
auth	file	src/path/auth_gate_l1.c	src/auth/authz/auth_gate_l1.c
auth	file	src/path/auth_gate_l1.h	src/auth/authz/auth_gate_l1.h
fs	dir	src/cache	src/fs/cache
fs	dir	src/scan	src/fs/scan
fs	file	src/path/beneath.c	src/fs/path/beneath.c
fs	file	src/path/beneath.h	src/fs/path/beneath.h
fs	file	src/path/canonical.c	src/fs/path/canonical.c
fs	file	src/path/normalize.c	src/fs/path/normalize.c
fs	file	src/path/helpers.c	src/fs/path/helpers.c
fs	file	src/path/mkdir.c	src/fs/path/mkdir.c
fs	file	src/path/resolve_confined_helpers.c	src/fs/path/resolve_confined_helpers.c
fs	file	src/path/resolve_confined_ops.c	src/fs/path/resolve_confined_ops.c
fs	file	src/path/resolve_path_variants.c	src/fs/path/resolve_path_variants.c
fs	file	src/path/unified.c	src/fs/path/unified.c
fs	file	src/path/unified.h	src/fs/path/unified.h
fs	file	src/path/path.h	src/fs/path/path.h
fs	file	src/path/path_internal.h	src/fs/path/path_internal.h
fs	file	src/path/README.md	src/fs/path/README.md
net	dir	src/cms	src/net/cms
net	dir	src/manager	src/net/manager
net	dir	src/upstream	src/net/upstream
net	dir	src/proxy	src/net/proxy
net	dir	src/ratelimit	src/net/ratelimit
net	dir	src/tap	src/net/tap
net	dir	src/mirror	src/net/mirror
obs	dir	src/metrics	src/observability/metrics
obs	dir	src/pmark	src/observability/pmark
obs	dir	src/dashboard	src/observability/dashboard
obs	file	src/path/access_log.c	src/observability/accesslog/access_log.c
protos	dir	src/webdav	src/protocols/webdav
protos	dir	src/s3	src/protocols/s3
protos	dir	src/ssi	src/protocols/ssi
protos	dir	src/srr	src/protocols/srr
protos	dir	src/dig	src/protocols/dig
protos	file	src/shared/file_serve.c	src/protocols/shared/file_serve.c
protos	file	src/shared/file_serve.h	src/protocols/shared/file_serve.h
protos	file	src/shared/http_cache_fill.c	src/protocols/shared/http_cache_fill.c
protos	file	src/shared/http_cache_fill.h	src/protocols/shared/http_cache_fill.h
protos	file	src/shared/http_serve_offload.c	src/protocols/shared/http_serve_offload.c
protos	file	src/shared/http_serve_offload.h	src/protocols/shared/http_serve_offload.h
protos	file	src/shared/README.md	src/protocols/shared/README.md
root	dir	src/connection	src/protocols/root/connection
root	dir	src/session	src/protocols/root/session
root	dir	src/protocol	src/protocols/root/protocol
root	dir	src/handshake	src/protocols/root/handshake
root	dir	src/read	src/protocols/root/read
root	dir	src/write	src/protocols/root/write
root	dir	src/dirlist	src/protocols/root/dirlist
root	dir	src/query	src/protocols/root/query
root	dir	src/fattr	src/protocols/root/fattr
root	dir	src/zip	src/protocols/root/zip
root	dir	src/stream	src/protocols/root/stream
root	dir	src/handoff	src/protocols/root/handoff
root	dir	src/relay	src/protocols/root/relay
root	dir	src/response	src/protocols/root/response
root	file	src/path/extract.c	src/protocols/root/path/extract.c
root	file	src/path/strip_cgi.c	src/protocols/root/path/strip_cgi.c
root	file	src/path/stat_body.c	src/protocols/root/path/stat_body.c
root	file	src/path/op_path.c	src/protocols/root/path/op_path.c
root	file	src/path/op_path.h	src/protocols/root/path/op_path.h
